"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","gdp","popdens","hdi","vaccine","cases","deaths"
"119","Europe","Moldova","2021-05-19",264380,123.655,0.75,5189.972,254213,6053,-0.626026511065292,-0.145505556495212,0.324459365053252,-0.148430132979163,-0.177178742326675,-0.183952495348558
"120","Europe","Monaco","2021-05-19",0,19347.5,0,0,2497,32,-0.87935991847264,8.90657243271006,-2.9183872973783,-0.155065414483776,-0.254255647505738,-0.28277328982909
"121","Asia","Mongolia","2021-05-19",2495668,1.98,0.737,11840.846,50618,235,-0.301383416139744,-0.202799588429851,0.268250022904439,-0.0924303448035573,-0.239520717051886,-0.279441514163993
"122","Europe","Montenegro","2021-05-19",148255,46.28,0.829,16409.288,99031,1566,-0.0783881902689992,-0.181939710766367,0.666039213496042,-0.151344582123286,-0.224696374497444,-0.257596226428801
"123","Africa","Morocco","2021-05-19",11703585,80.08,0.686,7485.013,515758,9106,-0.514000751259735,-0.166024047898967,0.0477364498590935,0.138665507250751,-0.0970921401040981,-0.133844558868062
"124","Africa","Mozambique","2021-05-19",0,37.728,0.456,1136.103,70509,828,-0.823904350666935,-0.185966655998378,-0.946736526619915,-0.155065414483776,-0.233429977007881,-0.269708790176789
"125","Asia","Myanmar","2021-05-19",0,81.721,0.583,5591.597,143159,3216,-0.606422353326103,-0.165251337757979,-0.397614491781506,-0.155065414483776,-0.211184123898588,-0.230515291219886
"126","Africa","Namibia","2021-05-19",60539,3.078,0.646,9541.808,51827,739,-0.41360427788986,-0.202282564825461,-0.125215372137256,-0.153546035911237,-0.239150514210742,-0.27116951940927
"127","Asia","Nepal","2021-05-19",0,204.43,0.602,2442.804,480418,5657,-0.760121537042393,-0.107470418385326,-0.31546237633324,-0.155065414483776,-0.107913453922163,-0.190451919798697
"128","Europe","Netherlands","2021-05-19",7600981,508.544,0.944,48472.545,1637940,17758,1.48668656319547,0.0357300519476996,1.16327570173555,0.0357003342348114,0.246526523817351,0.00815801775468563
"129","Oceania","New Zealand","2021-05-19",0,18.206,0.931,36085.843,2659,26,0.882065685818981,-0.1951591284983,1.10706635958673,-0.155065414483776,-0.25420604216226,-0.282871765957122
"130","North America","Nicaragua","2021-05-19",0,51.667,0.66,5321.444,7193,185,-0.619609087283688,-0.179403093137175,-0.0646822344385336,-0.155065414483776,-0.252817704956512,-0.280262148564263
"131","Africa","Niger","2021-05-19",0,16.955,0.394,926,5356,192,-0.834159918307089,-0.195748196375434,-1.21481185071426,-0.155065414483776,-0.253380205055091,-0.280147259748225
"132","Africa","Nigeria","2021-05-19",0,209.588,0.539,5338.454,165852,2067,-0.618778793544146,-0.105041631726448,-0.58786149597749,-0.155065414483776,-0.204235395135901,-0.249373469738094
"133","Europe","North Macedonia","2021-05-19",219977,82.6,0.774,13111.214,154891,5249,-0.23937409237051,-0.164837436347907,0.428230458251062,-0.149544538019821,-0.207591717172115,-0.197148296504902
"134","Asia","Northern Cyprus","2021-05-19",125248,0,0,0,0,0,-0.87935991847264,-0.203731926077113,-2.9183872973783,-0.151922000693437,-0.255020243448118,-0.283298495845263
"135","Europe","Norway","2021-05-19",0,14.462,0.957,64800.057,120292,781,2.28366663350112,-0.196922094231305,1.21948504388436,-0.155065414483776,-0.21818613247464,-0.270480186513043
"136","Asia","Oman","2021-05-19",0,14.98,0.813,37960.709,207805,2228,0.973581823519182,-0.196678179634698,0.596858484697502,-0.155065414483776,-0.191389142204116,-0.246731026969225
"137","Asia","Pakistan","2021-05-19",0,255.573,0.557,5034.708,890391,19987,-0.63360527221616,-0.0833883253075918,-0.510033176079133,-0.155065414483776,0.017622666336287,0.0447418993187291
"138","Asia","Palestine","2021-05-19",472617,778.202,0.708,4449.898,304532,3448,-0.662151073616609,0.16270596370797,0.142859951957085,-0.143203901363018,-0.161770771471801,-0.226707547602633
"139","North America","Panama","2021-05-19",863325,55.133,0.815,22267.037,372221,6305,0.207540811642184,-0.177771031376867,0.60550607579732,-0.133398100749868,-0.141044005455078,-0.179816497971196
"140","Oceania","Papua New Guinea","2021-05-19",0,18.22,0.555,3823.194,14639,141,-0.692741808933835,-0.195152536211906,-0.518680767178951,-0.155065414483776,-0.25053769639145,-0.280984306836501
"141","South America","Paraguay","2021-05-19",0,17.144,0.728,8827.01,321032,7914,-0.44849506592262,-0.195659200509105,0.22933586295526,-0.155065414483776,-0.156718375376779,-0.153408482970503
"142","South America","Peru","2021-05-19",0,25.129,0.777,12236.706,1903615,67034,-0.282060660129447,-0.191899242876081,0.441201844900788,-0.155065414483776,0.327877756092803,0.816909631908929
"143","Asia","Philippines","2021-05-19",0,351.873,0.718,7599.188,1159071,19507,-0.508427630288999,-0.0380428124634928,0.186097907456173,-0.155065414483776,0.0998940471126806,0.0368638090761357
"144","Europe","Poland","2021-05-19",0,124.027,0.88,27216.445,2859261,72250,0.44913178617715,-0.145330390028151,0.886552786541387,-0.155065414483776,0.62050212691846,0.902518212545112
"145","Europe","Portugal","2021-05-19",4809225,112.371,0.864,27936.896,843278,17013,0.484298508984138,-0.150818939329406,0.817372057742848,-0.0343658090142784,0.00319639135296767,-0.00406943480933968
